"Year","Category","Nominee","Won"
"1941 (14th)","ACTRESS","Hold Back the Dawn ","no"
"1941 (14th)","ACTRESS","Suspicion ","yes"
"1941 (14th)","ACTRESS","Blossoms in the Dust ","no"
"1941 (14th)","ACTRESS","Ball of Fire ","no"
"1941 (14th)","ACTRESS IN A SUPPORTING ROLE","How Green Was My Valley ","no"
"1941 (14th)","ACTRESS IN A SUPPORTING ROLE","The Great Lie ","yes"
"1941 (14th)","ACTRESS IN A SUPPORTING ROLE","The Little Foxes ","no"
"1941 (14th)","ACTRESS IN A SUPPORTING ROLE","The Little Foxes ","no"
"1941 (14th)","ACTRESS IN A SUPPORTING ROLE","Sergeant York ","no"
"1941 (14th)","DIRECTING","Citizen Kane","no"
"1941 (14th)","DIRECTING","Here Comes Mr. Jordan","no"
"1941 (14th)","DIRECTING","How Green Was My Valley","yes"
"1941 (14th)","DIRECTING","The Little Foxes","no"
"1941 (14th)","DIRECTING","Sergeant York","no"
"1941 (14th)","FILM EDITING","Citizen Kane","no"
"1941 (14th)","FILM EDITING","Dr. Jekyll and Mr. Hyde","no"
"1941 (14th)","FILM EDITING","How Green Was My Valley","no"
"1941 (14th)","FILM EDITING","The Little Foxes","no"
"1941 (14th)","FILM EDITING","Sergeant York","yes"
"1942 (15th)","ACTOR","Yankee Doodle Dandy ","yes"
"1942 (15th)","ACTOR","Random Harvest ","no"
"1942 (15th)","ACTOR","The Pride of the Yankees ","no"
"1942 (15th)","ACTOR","Mrs. Miniver ","no"
"1942 (15th)","ACTOR","The Pied Piper ","no"
"1942 (15th)","ACTOR IN A SUPPORTING ROLE","Wake Island ","no"
"1942 (15th)","ACTOR IN A SUPPORTING ROLE","Johnny Eager ","yes"
"1942 (15th)","ACTOR IN A SUPPORTING ROLE","Yankee Doodle Dandy ","no"
"1942 (15th)","ACTOR IN A SUPPORTING ROLE","Tortilla Flat ","no"
"1942 (15th)","ACTOR IN A SUPPORTING ROLE","Mrs. Miniver ","no"
"1942 (15th)","ACTRESS","Now; Voyager ","no"
"1942 (15th)","ACTRESS","Mrs. Miniver ","yes"
"1942 (15th)","ACTRESS","Woman of the Year ","no"
"1942 (15th)","ACTRESS","My Sister Eileen ","no"
"1942 (15th)","ACTRESS","The Pride of the Yankees ","no"
"1942 (15th)","ACTRESS IN A SUPPORTING ROLE","Now; Voyager ","no"
"1942 (15th)","ACTRESS IN A SUPPORTING ROLE","The Magnificent Ambersons ","no"
"1942 (15th)","ACTRESS IN A SUPPORTING ROLE","Random Harvest ","no"
"1942 (15th)","ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver ","no"
"1942 (15th)","ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver ","yes"
"1942 (15th)","DIRECTING","Kings Row","no"
"1942 (15th)","DIRECTING","Mrs. Miniver","yes"
"1942 (15th)","DIRECTING","Random Harvest","no"
"1942 (15th)","DIRECTING","Wake Island","no"
"1942 (15th)","DIRECTING","Yankee Doodle Dandy","no"
