"Year","Category","Nominee","Won"
1938,"CINEMATOGRAPHY","Algiers","no"
1938,"CINEMATOGRAPHY","Army Girl","no"
1938,"CINEMATOGRAPHY","The Buccaneer","no"
1938,"CINEMATOGRAPHY","The Great Waltz","yes"
1938,"CINEMATOGRAPHY","Jezebel","no"
1938,"CINEMATOGRAPHY","Mad about Music","no"
1938,"CINEMATOGRAPHY","Merrily We Live","no"
1938,"CINEMATOGRAPHY","Suez","no"
1938,"CINEMATOGRAPHY","Vivacious Lady","no"
1938,"CINEMATOGRAPHY","You Can't Take It with You","no"
1938,"CINEMATOGRAPHY","The Young in Heart","no"
1938,"DIRECTING","Angels with Dirty Faces","no"
1938,"DIRECTING","Boys Town","no"
1938,"DIRECTING","The Citadel","no"
1938,"DIRECTING","Four Daughters","no"
1938,"DIRECTING","You Can't Take It with You","yes"
1938,"FILM EDITING","The Adventures of Robin Hood","yes"
1938,"FILM EDITING","Alexander's Ragtime Band","no"
1938,"FILM EDITING","The Great Waltz","no"
1938,"FILM EDITING","Test Pilot","no"
1938,"FILM EDITING","You Can't Take It with You","no"
1939,"ACTOR IN A LEADING ROLE","Goodbye; Mr. Chips","yes"
1939,"ACTOR IN A LEADING ROLE","Gone with the Wind","no"
1939,"ACTOR IN A LEADING ROLE","Wuthering Heights","no"
1939,"ACTOR IN A LEADING ROLE","Babes in Arms","no"
1939,"ACTOR IN A LEADING ROLE","Mr. Smith Goes to Washington","no"
1939,"ACTOR IN A SUPPORTING ROLE","Juarez","no"
1939,"ACTOR IN A SUPPORTING ROLE","Mr. Smith Goes to Washington","no"
1939,"ACTOR IN A SUPPORTING ROLE","Beau Geste","no"
1939,"ACTOR IN A SUPPORTING ROLE","Stagecoach","yes"
1939,"ACTOR IN A SUPPORTING ROLE","Mr. Smith Goes to Washington","no"
1939,"ACTRESS IN A LEADING ROLE","Dark Victory","no"
1939,"ACTRESS IN A LEADING ROLE","Love Affair","no"
1939,"ACTRESS IN A LEADING ROLE","Ninotchka","no"
1939,"ACTRESS IN A LEADING ROLE","Goodbye; Mr. Chips","no"
1939,"ACTRESS IN A LEADING ROLE","Gone with the Wind","yes"
1939,"ACTRESS IN A SUPPORTING ROLE","Gone with the Wind","no"
1939,"ACTRESS IN A SUPPORTING ROLE","Wuthering Heights","no"
1939,"ACTRESS IN A SUPPORTING ROLE","Gone with the Wind","yes"
1939,"ACTRESS IN A SUPPORTING ROLE","Drums along the Mohawk","no"
1939,"ACTRESS IN A SUPPORTING ROLE","Love Affair","no"
1939,"DIRECTING","Gone with the Wind","yes"
1939,"DIRECTING","Goodbye; Mr. Chips","no"
1939,"DIRECTING","Mr. Smith Goes to Washington","no"
1939,"DIRECTING","Stagecoach","no"
1939,"DIRECTING","Wuthering Heights","no"
1939,"FILM EDITING","Gone with the Wind","yes"
1939,"FILM EDITING","Goodbye; Mr. Chips","no"
1939,"FILM EDITING","Mr. Smith Goes to Washington","no"
1939,"FILM EDITING","The Rains Came","no"
1939,"FILM EDITING","Stagecoach","no"
1940,"ACTOR IN A LEADING ROLE","The Great Dictator","no"
1940,"ACTOR IN A LEADING ROLE","The Grapes of Wrath","no"
1940,"ACTOR IN A LEADING ROLE","Abe Lincoln in Illinois","no"
1940,"ACTOR IN A LEADING ROLE","Rebecca","no"
1940,"ACTOR IN A LEADING ROLE","The Philadelphia Story","yes"
1940,"ACTOR IN A SUPPORTING ROLE","Foreign Correspondent","no"
1940,"ACTOR IN A SUPPORTING ROLE","The Westerner","yes"
1940,"ACTOR IN A SUPPORTING ROLE","They Knew What They Wanted","no"
