"","Film","Production_Company","Producers","Year","Best_Pic_Oscar","Editor","Edit_Oscar"
"94","The Lord of the Rings: The Fellowship of the Ring","New Line Cinema, WingNut Films","Peter Jackson, Fran Walsh, and Barrie M. Osborne",2001,"f","John Gilbert","f"
"95","Moulin Rouge!","20th Century Fox, Bazmark","Martin Brown, Baz Luhrmann, and Fred Baron",2001,"f","Jill Bilcock","f"
"96","Gladiator","DreamWorks, Universal, Scott Free Productions, Red Wagon Entertainment","Douglas Wick, David Franzoni, and Branko Lustig",2000,"t","Pietro Scalia","f"
"97","Chocolat","Miramax","David Brown, Kit Golden, and Leslie Holleran",2000,"f",NA,NA
"98","Crouching Tiger, Hidden Dragon[K]","Sony Pictures Classics","William Kong, Hsu Li Kong, and Ang Lee",2000,"f",NA,NA
"99","Erin Brockovich","Universal, Columbia, Jersey Films","Danny DeVito, Michael Shamberg, and Stacey Sher",2000,"f",NA,NA
"100","Traffic","Universal, USA, Bedford Falls Company","Edward Zwick, Marshall Herskovitz, and Laura Bickford",2000,"f","Stephen Mirrione","t"
"101","American Beauty","DreamWorks, Jinks/Cohen Co.","Bruce Cohen and Dan Jinks",1999,"t","Tariq Anwar","f"
"102","The Cider House Rules","Miramax, FilmColony","Richard N. Gladstein",1999,"f","Lisa Zeno Churgin","f"
"103","The Green Mile","Warner Bros., Castle Rock Entertainment","Frank Darabont and David Valdes",1999,"f",NA,NA
"104","The Insider","Touchstone, Spyglass Entertainment","Pieter Jan Brugge and Michael Mann",1999,"f","William Goldenberg, Paul Rubell, and David Rosenbloom","f"
"105","The Sixth Sense","Hollywood, Spyglass Entertainment","Frank Marshall, Kathleen Kennedy, and Barry Mendel",1999,"f","Andrew Mondshein","f"
"106","Shakespeare in Love","Miramax, Universal, Bedford Falls Company","David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick, and Marc Norman",1998,"t","David Gamble","f"
"107","Elizabeth","PolyGram, Gramercy","Alison Owen, Eric Fellner, and Tim Bevan",1998,"f",NA,NA
"108","Life Is Beautiful[K]","Miramax, Melampo Cinematografica, Pacific Pictures","Elda Ferri and Gianluigi Braschi",1998,"f",NA,NA
"109","Saving Private Ryan","DreamWorks, Paramount, Amblin Entertainment","Steven Spielberg, Ian Bryce, Mark Gordon, and Gary Levinsohn",1998,"f","Michael Kahn","t"
"110","The Thin Red Line","20th Century Fox","Robert Michael Geisler, John Roberdeau, and Grant Hill",1998,"f","Billy Weber, Leslie Jones, and Saar Klein","f"
"111","Titanic","Paramount, 20th Century Fox, Lightstorm Entertainment","James Cameron and Jon Landau",1997,"t","Conrad Buff, James Cameron, and Richard A. Harris","t"
"112","As Good as It Gets","Tristar, Gracie Films","James L. Brooks, Bridget Johnson, Kristi Zea",1997,"f","Richard Marks","f"
"113","The Full Monty","Fox Searchlight, Redwave Films","Umberto Pasolini",1997,"f",NA,NA
"114","Good Will Hunting","Miramax, A Band Apart","Lawrence Bender",1997,"f","Pietro Scalia","f"
"115","L.A. Confidential","Warner Bros., Regency Enterprises","Curtis Hanson, Arnon Milchan, and Michael G. Nathanson",1997,"f","Peter Honess","f"
"116","The English Patient","Miramax, Tiger Moth Productions","Saul Zaentz",1996,"t","Walter Murch","t"
"117","Fargo","PolyGram","Ethan Coen",1996,"f","Roderick Jaynes","f"
"118","Jerry Maguire","TriStar, Gracie Films","James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",1996,"f","Joe Hutshing","f"
"119","Secrets & Lies","October, Thin Man Films","Simon Channing-Williams",1996,"f",NA,NA
"120","Shine","FineLine Features, Momentum Films","Jane Scott",1996,"f","Pip Karmel","f"
"121","Braveheart","Paramount, 20th Century Fox, Icon","Mel Gibson, Alan Ladd, Jr., and Bruce Davey",1995,"t","Steven Rosenblum","f"
"122","Apollo 13","Universal, Imagine Entertainment","Brian Grazer",1995,"f","Mike Hill and Daniel P. Hanley","t"
"123","Babe","Universal, Kennedy Miller Productions","Bill Miller, George Miller, and Doug Mitchell",1995,"f","Marcus D'Arcy and Jay Friedkin","f"
"124","Il Postino: The Postman[K]","Miramax, Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film","Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",1995,"f",NA,NA
"125","Sense and Sensibility","Columbia, Mirage","Lindsay Doran",1995,"f",NA,NA
"126","Forrest Gump","Paramount","Wendy Finerman, Steve Tisch, and Steve Starkey",1994,"t","Arthur Schmidt","t"
"127","Four Weddings and a Funeral","PolyGram, Working Title","Duncan Kenworthy",1994,"f",NA,NA
"128","Pulp Fiction","Miramax","Lawrence Bender",1994,"f","Sally Menke","f"
"129","Quiz Show","Hollywood","Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",1994,"f",NA,NA
"130","The Shawshank Redemption","Columbia, Castle Rock Entertainment","Niki Marvin",1994,"f","Richard Francis-Bruce","f"
"131","Schindler's List","Universal, Amblin Entertainment","Steven Spielberg, Gerald R. Molen, and Branko Lustig",1993,"t","Michael Kahn","t"
"132","The Fugitive","Warner Bros.","Arnold Kopelson",1993,"f","Dennis Virkler, David Finfer, Dean Goodhill, Don Brochu, Richard Nord, and Dov Hoenig","f"
"133","In the Name of the Father","Universal, Hell's Kitchen","Jim Sheridan",1993,"f","Gerry Hambling","f"
"134","The Piano","Miramax, Jan Chapman Productions","Jan Chapman",1993,"f","Veronika Jenet","f"
"135","The Remains of the Day","Columbia, Merchant Ivory","Mike Nichols, John Calley, and Ismail Merchant",1993,"f",NA,NA
"136","Unforgiven","Warner Bros., Malpaso","Clint Eastwood",1992,"t","Joel Cox","t"
"137","The Crying Game","Miramax, Palace Pictures","Stephen Woolley",1992,"f","Kant Pan","f"
"138","A Few Good Men","Columbia, Castle Rock Entertainment","David Brown, Rob Reiner, and Andrew Scheinman",1992,"f","Robert Leighton","f"
