Year,Category,Nominee,Additional.Info,Won.
1935 (8th),SHORT SUBJECT (Novelty),Wings over Mt. Everest,Gaumont British and Skibo Productions,yes
1935 (8th),SOUND RECORDING,Bride of Frankenstein,Universal Studio Sound Department; Gilbert Kurland; Sound Director,no
1935 (8th),SOUND RECORDING,Captain Blood,Warner Bros.-First National Studio Sound Department; Nathan Levinson; Sound Director [came in 2nd],no
1935 (8th),SOUND RECORDING,The Dark Angel,United Artists Studio Sound Department; Thomas T. Moulton; Sound Director,no
1935 (8th),SOUND RECORDING,I Dream Too Much,RKO Radio Studio Sound Department; Carl Dreher; Sound Director,no
1935 (8th),SOUND RECORDING,The Lives of a Bengal Lancer,Paramount Studio Sound Department; Franklin B. Hansen; Sound Director [came in 3rd],no
1935 (8th),SOUND RECORDING,Love Me Forever,Columbia Studio Sound Department; John Livadary; Sound Director,no
1935 (8th),SOUND RECORDING,Naughty Marietta,Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director,yes
1935 (8th),SOUND RECORDING,$1;000 a Minute,Republic Studio Sound Department,no
1935 (8th),SOUND RECORDING,Thanks a Million,20th Century-Fox Studio Sound Department; E. H. Hansen; Sound Director,no
1935 (8th),WRITING (Original Story),Broadway Melody of 1936,Moss Hart [came in 3rd],no
1935 (8th),WRITING (Original Story),G-Men,Gregory Rogers [came in 2nd],no
1935 (8th),WRITING (Original Story),NA,NA,no
1935 (8th),WRITING (Original Story),The Gay Deception,Don Hartman; Stephen Avery,no
1935 (8th),WRITING (Original Story),The Scoundrel,Ben Hecht; Charles MacArthur,yes
1935 (8th),WRITING (Screenplay),Captain Blood,Casey Robinson [came in 3rd],no
1935 (8th),WRITING (Screenplay),NA,NA,no
1935 (8th),WRITING (Screenplay),The Informer,Dudley Nichols,yes
1935 (8th),WRITING (Screenplay),NA,NA,no
1935 (8th),WRITING (Screenplay),The Lives of a Bengal Lancer,Screenplay by Waldemar Young; John L. Balderston; Achmed Abdullah; Adaptation by Grover Jones; William Slavens McNutt,no
1935 (8th),WRITING (Screenplay),Mutiny on the Bounty,Talbot Jennings; Jules Furthman; Carey Wilson [came in 2nd],no
1935 (8th),SPECIAL AWARD,To David Wark Griffith; for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts.,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation; and the application of the method to all negative and print processing of the entire product of a major producing company. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing; in which the level of the dialogue automatically controls the level of the accompanying music and sound effects. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To MOLE-RICHARDSON COMPANY for their development of the Solar-spot spot lamps. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ELECTRICAL RESEARCH PRODUCTS; INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To PARAMOUNT PRODUCTIONS; INC. for the design and construction of the Paramount transparency air turbine developing machine. ,NA,yes
1935 (8th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To NATHAN LEVINSON; Director of Sound Recording for Warner Bros.-First National Studio; for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures. ,NA,yes
1936 (9th),ACTOR,Mr. Deeds Goes to Town ,Gary Cooper,no
1936 (9th),ACTOR,Dodsworth ,Walter Huston,no
1936 (9th),ACTOR,The Story of Louis Pasteur ,Paul Muni,yes
1936 (9th),ACTOR,My Man Godfrey ,William Powell,no
1936 (9th),ACTOR,San Francisco ,Spencer Tracy,no
1936 (9th),ACTOR IN A SUPPORTING ROLE,My Man Godfrey ,Mischa Auer,no
1936 (9th),ACTOR IN A SUPPORTING ROLE,Come and Get It ,Walter Brennan,yes
1936 (9th),ACTOR IN A SUPPORTING ROLE,Pigskin Parade ,Stuart Erwin,no
1936 (9th),ACTOR IN A SUPPORTING ROLE,Romeo and Juliet ,Basil Rathbone,no
1936 (9th),ACTOR IN A SUPPORTING ROLE,The General Died at Dawn ,Akim Tamiroff,no
1936 (9th),ACTRESS,Theodora Goes Wild ,Irene Dunne,no
1936 (9th),ACTRESS,Valiant Is the Word for Carrie ,Gladys George,no
1936 (9th),ACTRESS,My Man Godfrey ,Carole Lombard,no
1936 (9th),ACTRESS,The Great Ziegfeld ,Luise Rainer,yes
1936 (9th),ACTRESS,Romeo and Juliet ,Norma Shearer,no
1936 (9th),ACTRESS IN A SUPPORTING ROLE,The Gorgeous Hussy ,Beulah Bondi,no
1936 (9th),ACTRESS IN A SUPPORTING ROLE,My Man Godfrey ,Alice Brady,no
1936 (9th),ACTRESS IN A SUPPORTING ROLE,These Three ,Bonita Granville,no
1936 (9th),ACTRESS IN A SUPPORTING ROLE,Dodsworth ,Maria Ouspenskaya,no
1936 (9th),ACTRESS IN A SUPPORTING ROLE,Anthony Adverse ,Gale Sondergaard,yes
1936 (9th),ART DIRECTION,Anthony Adverse,Anton Grot,no
1936 (9th),ART DIRECTION,Dodsworth,Richard Day,yes
1936 (9th),ART DIRECTION,The Great Ziegfeld,Cedric Gibbons; Eddie Imazu; Edwin B. Willis,no
1936 (9th),ART DIRECTION,Lloyds of London,William S. Darling,no
1936 (9th),ART DIRECTION,The Magnificent Brute,Albert S. D'Agostino; Jack Otterson,no
1936 (9th),ART DIRECTION,Romeo and Juliet,Cedric Gibbons; Fredric Hope; Edwin B. Willis,no
1936 (9th),ART DIRECTION,Winterset,Perry Ferguson,no
1936 (9th),ASSISTANT DIRECTOR,Anthony Adverse,William Cannon,no
1936 (9th),ASSISTANT DIRECTOR,The Charge of the Light Brigade,Jack Sullivan,yes
1936 (9th),ASSISTANT DIRECTOR,The Garden of Allah,Eric G. Stacey,no
1936 (9th),ASSISTANT DIRECTOR,The Last of the Mohicans,Clem Beauchamp,no
1936 (9th),ASSISTANT DIRECTOR,San Francisco,Joseph Newman,no
1936 (9th),CINEMATOGRAPHY,Anthony Adverse,Gaetano Gaudio,yes
1936 (9th),CINEMATOGRAPHY,The General Died at Dawn,Victor Milner,no
1936 (9th),CINEMATOGRAPHY,The Gorgeous Hussy,George Folsey,no
1936 (9th),DANCE DIRECTION,Busby Berkeley,Love and War number from Gold Diggers of 1937,no
1936 (9th),DANCE DIRECTION,Bobby Connolly,1000 Love Songs number from Cain and Mabel,no
