Year,Category,Nominee,Additional.Info,Won.
1969 (42nd),MUSIC (Song--Original for the Picture),What Are You Doing The Rest Of Your Life? from The Happy Ending,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,no
1969 (42nd),BEST PICTURE,Anne of the Thousand Days,Hal B. Wallis; Producer,no
1969 (42nd),BEST PICTURE,Butch Cassidy and the Sundance Kid,John Foreman; Producer,no
1969 (42nd),BEST PICTURE,Hello; Dolly!,Ernest Lehman; Producer,no
1969 (42nd),BEST PICTURE,Midnight Cowboy,Jerome Hellman; Producer,yes
1969 (42nd),BEST PICTURE,Z,Jacques Perrin and Hamed Rachedi; Producers,no
1969 (42nd),SHORT SUBJECT (Cartoon),It's Tough to Be a Bird,Ward Kimball; Producer,yes
1969 (42nd),SHORT SUBJECT (Cartoon),Of Men and Demons,John Hubley and Faith Hubley; Producers,no
1969 (42nd),SHORT SUBJECT (Cartoon),Walking,Ryan Larkin; Producer,no
1969 (42nd),SHORT SUBJECT (Live Action),Blake,Doug Jackson; Producer,no
1969 (42nd),SHORT SUBJECT (Live Action),The Magic Machines,Joan Keller Stern; Producer,yes
1969 (42nd),SHORT SUBJECT (Live Action),People Soup,Marc Merson; Producer,no
1969 (42nd),SOUND,Anne of the Thousand Days,John Aldred,no
1969 (42nd),SOUND,Butch Cassidy and the Sundance Kid,William Edmondson; David Dockendorf,no
1969 (42nd),SOUND,Gaily; Gaily,Robert Martin; Clem Portman,no
1969 (42nd),SOUND,Hello; Dolly!,Jack Solomon; Murray Spivack,yes
1969 (42nd),SOUND,Marooned,Les Fresholtz; Arthur Piantadosi,no
1969 (42nd),SPECIAL VISUAL EFFECTS,Krakatoa; East of Java,Eugene Lourie; Alex Weldon,no
1969 (42nd),SPECIAL VISUAL EFFECTS,Marooned,Robbie Robertson,yes
1969 (42nd),WRITING (Screenplay--based on material from another medium),Anne of the Thousand Days,Screenplay by John Hale; Bridget Boland; Adaptation by Richard Sokolove,no
1969 (42nd),WRITING (Screenplay--based on material from another medium),Goodbye; Columbus,Arnold Schulman,no
1969 (42nd),WRITING (Screenplay--based on material from another medium),Midnight Cowboy,Waldo Salt,yes
1969 (42nd),WRITING (Screenplay--based on material from another medium),They Shoot Horses; Don't They?,James Poe; Robert E. Thompson,no
1969 (42nd),WRITING (Screenplay--based on material from another medium),Z,Jorge Semprun; Costa-Gavras,no
1969 (42nd),WRITING (Story and Screenplay--based on material not previously published or produced),Bob & Carol & Ted & Alice,Paul Mazursky; Larry Tucker,no
1969 (42nd),WRITING (Story and Screenplay--based on material not previously published or produced),Butch Cassidy and the Sundance Kid,William Goldman,yes
1969 (42nd),WRITING (Story and Screenplay--based on material not previously published or produced),The Damned,Story by Nicola Badalucco; Screenplay by Nicola Badalucco; Enrico Medioli; Luchino Visconti,no
1969 (42nd),WRITING (Story and Screenplay--based on material not previously published or produced),Easy Rider,Peter Fonda; Dennis Hopper; Terry Southern,no
1969 (42nd),WRITING (Story and Screenplay--based on material not previously published or produced),The Wild Bunch,Story by Walon Green; Roy N. Sickner; Screenplay by Walon Green; Sam Peckinpah,no
1969 (42nd),JEAN HERSHOLT HUMANITARIAN AWARD,George Jessel,NA,yes
1969 (42nd),HONORARY AWARD,To Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues.,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class II),To HAZELTINE CORPORATION for the design and development of the Hazeltine Color Film Analyzer. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class II),To FOUAD SAID for the design and introduction of the Cinemobile series of equipment trucks for location motion picture production. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class II),To JUAN DE LA CIERVA and DYNASCIENCES CORPORATION for the design and development of the Dynalens optical image motion compensator. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To OTTO POPELKA of Magna-Tech Electronics Company; Inc.; for the development of an Electronically Controlled Looping System. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To FENTON HAMILTON of Metro-Goldwyn-Mayer Studios for the concept and engineering of a mobile battery power unit for location lighting. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To PANAVISION; INCORPORATED; for the design and development of the Panaspeed Motion Picture Camera Motor. ,NA,yes
1969 (42nd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ROBERT M. FLYNN and RUSSELL HESSEY of Universal City Studios; Inc. for a machine-gun modification for motion picture photography. ,NA,yes
1970 (43rd),ACTOR,I Never Sang for My Father ,Melvyn Douglas,no
1970 (43rd),ACTOR,The Great White Hope ,James Earl Jones,no
1970 (43rd),ACTOR,Five Easy Pieces ,Jack Nicholson,no
1970 (43rd),ACTOR,Love Story ,Ryan O'Neal,no
1970 (43rd),ACTOR,Patton ,George C. Scott,yes
1970 (43rd),ACTOR,NA,[NOTE: Mr. Scott refused the award.],no
1970 (43rd),ACTOR IN A SUPPORTING ROLE,Lovers and Other Strangers ,Richard Castellano,no
1970 (43rd),ACTOR IN A SUPPORTING ROLE,Little Big Man ,Chief Dan George,no
1970 (43rd),ACTOR IN A SUPPORTING ROLE,I Never Sang for My Father ,Gene Hackman,no
1970 (43rd),ACTOR IN A SUPPORTING ROLE,Love Story ,John Marley,no
1970 (43rd),ACTOR IN A SUPPORTING ROLE,Ryan's Daughter ,John Mills,yes
1970 (43rd),ACTRESS,The Great White Hope ,Jane Alexander,no
1970 (43rd),ACTRESS,Women in Love ,Glenda Jackson,yes
1970 (43rd),ACTRESS,Love Story ,Ali MacGraw,no
1970 (43rd),ACTRESS,Ryan's Daughter ,Sarah Miles,no
1970 (43rd),ACTRESS,Diary of a Mad Housewife ,Carrie Snodgress,no
1970 (43rd),ACTRESS IN A SUPPORTING ROLE,Five Easy Pieces ,Karen Black,no
1970 (43rd),ACTRESS IN A SUPPORTING ROLE,The Landlord ,Lee Grant,no
1970 (43rd),ACTRESS IN A SUPPORTING ROLE,Airport ,Helen Hayes,yes
1970 (43rd),ACTRESS IN A SUPPORTING ROLE,M*A*S*H ,Sally Kellerman,no
1970 (43rd),ACTRESS IN A SUPPORTING ROLE,Airport ,Maureen Stapleton,no
1970 (43rd),ART DIRECTION,Airport,Art Direction: Alexander Golitzen; E. Preston Ames; Set Decoration: Jack D. Moore; Mickey S. Michaels,no
1970 (43rd),ART DIRECTION,The Molly Maguires,Art Direction: Tambi Larsen; Set Decoration: Darrell Silvera,no
1970 (43rd),ART DIRECTION,Patton,Art Direction: Urie McCleary; Gil Parrondo; Set Decoration: Antonio Mateos; Pierre-Louis Thevenet,yes
1970 (43rd),ART DIRECTION,Scrooge,Art Direction: Terry Marsh; Bob Cartwright; Set Decoration: Pamela Cornell,no
1970 (43rd),ART DIRECTION,Tora! Tora! Tora!,Art Direction: Jack Martin Smith; Yoshiro Muraki; Richard Day; Taizoh Kawashima; Set Decoration: Walter M. Scott; Norman Rockett; Carl Biddiscombe,no
1970 (43rd),CINEMATOGRAPHY,Airport,Ernest Laszlo,no
1970 (43rd),CINEMATOGRAPHY,Patton,Fred Koenekamp,no
1970 (43rd),CINEMATOGRAPHY,Ryan's Daughter,Freddie Young,yes
1970 (43rd),CINEMATOGRAPHY,Tora! Tora! Tora!,Charles F. Wheeler; Osami Furuya; Sinsaku Himeda; Masamichi Satoh,no
1970 (43rd),CINEMATOGRAPHY,Women in Love,Billy Williams,no
1970 (43rd),COSTUME DESIGN,Airport,Edith Head,no
1970 (43rd),COSTUME DESIGN,Cromwell,Nino Novarese,yes
1970 (43rd),COSTUME DESIGN,Darling Lili,Donald Brooks; Jack Bear,no
1970 (43rd),COSTUME DESIGN,The Hawaiians,Bill Thomas,no
1970 (43rd),COSTUME DESIGN,Scrooge,Margaret Furse,no
1970 (43rd),DIRECTING,Fellini Satyricon,Federico Fellini,no
1970 (43rd),DIRECTING,Love Story,Arthur Hiller,no
1970 (43rd),DIRECTING,M*A*S*H,Robert Altman,no
1970 (43rd),DIRECTING,Patton,Franklin J. Schaffner,yes
1970 (43rd),DIRECTING,Women in Love,Ken Russell,no
1970 (43rd),DOCUMENTARY (Feature),Chariots of the Gods,Dr. Harald Reinl; Producer,no
1970 (43rd),DOCUMENTARY (Feature),Jack Johnson,Jim Jacobs; Producer,no
1970 (43rd),DOCUMENTARY (Feature),King: A Filmed Record...Montgomery to Memphis,Ely Landau; Producer,no
1970 (43rd),DOCUMENTARY (Feature),Say Goodbye,David H. Vowell; Producer,no
1970 (43rd),DOCUMENTARY (Feature),Woodstock,Bob Maurice; Producer,yes
1970 (43rd),DOCUMENTARY (Short Subject),The Gifts,Robert McBride; Producer,no
1970 (43rd),DOCUMENTARY (Short Subject),Interviews with My Lai Veterans,Joseph Strick; Producer,yes
1970 (43rd),DOCUMENTARY (Short Subject),A Long Way from Nowhere,Bob Aller; Producer,no
1970 (43rd),DOCUMENTARY (Short Subject),Oisin,Vivien Carey and Patrick Carey; Producers,no
1970 (43rd),DOCUMENTARY (Short Subject),Time Is Running Out,Horst Dallmayr and Robert Menegoz; Producers,no
1970 (43rd),FILM EDITING,Airport,Stuart Gilmore,no
1970 (43rd),FILM EDITING,M*A*S*H,Danford B. Greene,no
1970 (43rd),FILM EDITING,Patton,Hugh S. Fowler,yes
1970 (43rd),FILM EDITING,Tora! Tora! Tora!,James E. Newcom; Pembroke J. Herring; Inoue Chikaya,no
1970 (43rd),FILM EDITING,Woodstock,Thelma Schoonmaker,no
1970 (43rd),FOREIGN LANGUAGE FILM,First Love,Switzerland,no
1970 (43rd),FOREIGN LANGUAGE FILM,Hoa-Binh,France,no
1970 (43rd),FOREIGN LANGUAGE FILM,Investigation of a Citizen above Suspicion,Italy,yes
1970 (43rd),FOREIGN LANGUAGE FILM,Paix Sur Les Champs,Belgium,no
1970 (43rd),FOREIGN LANGUAGE FILM,Tristana,Spain,no
1970 (43rd),MUSIC (Original Score),Airport,Alfred Newman,no
1970 (43rd),MUSIC (Original Score),Cromwell,Frank Cordell,no
1970 (43rd),MUSIC (Original Score),Love Story,Francis Lai,yes
1970 (43rd),MUSIC (Original Score),Patton,Jerry Goldsmith,no
1970 (43rd),MUSIC (Original Score),Sunflower,Henry Mancini,no
1970 (43rd),MUSIC (Original Song Score),The Baby Maker,Music by Fred Karlin; lyrics by Tylwyth Kymry,no
1970 (43rd),MUSIC (Original Song Score),A Boy Named Charlie Brown,Music by Rod McKuen and John Scott Trotter; lyrics by Rod McKuen; Bill Melendez and Al Shean; adaptation score by Vince Guaraldi,no
1970 (43rd),MUSIC (Original Song Score),Darling Lili,Music by Henry Mancini; lyrics by Johnny Mercer,no
1970 (43rd),MUSIC (Original Song Score),Let It Be,Music and lyrics by The Beatles,yes
1970 (43rd),MUSIC (Original Song Score),Scrooge,Music and lyrics by Leslie Bricusse; adaptation score by Ian Fraser and Herbert W. Spencer,no
1970 (43rd),For All We Know from Lovers and Other Strangers -- Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Pieces Of Dreams from Pieces of Dreams,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,no
1970 (43rd),For All We Know from Lovers and Other Strangers -- Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Thank You Very Much from Scrooge,Music and Lyrics by Leslie Bricusse,no
1970 (43rd),For All We Know from Lovers and Other Strangers -- Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Till Love Touches Your Life from Madron,Music by Riz Ortolani; Lyrics by Arthur Hamilton,no
1970 (43rd),For All We Know from Lovers and Other Strangers -- Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Whistling Away The Dark from Darling Lili,Music by Henry Mancini; Lyrics by Johnny Mercer,no
1970 (43rd),BEST PICTURE,Airport,Ross Hunter; Producer,no
1970 (43rd),BEST PICTURE,Five Easy Pieces,Bob Rafelson and Richard Wechsler; Producers,no
1970 (43rd),BEST PICTURE,Love Story,Howard G. Minsky; Producer,no
1970 (43rd),BEST PICTURE,M*A*S*H,Ingo Preminger; Producer,no
1970 (43rd),BEST PICTURE,Patton,Frank McCarthy; Producer,yes
1970 (43rd),SHORT SUBJECT (Cartoon),The Further Adventures of Uncle Sam: Part Two,Robert Mitchell and Dale Case; Producers,no
1970 (43rd),SHORT SUBJECT (Cartoon),Is It Always Right to Be Right?,Nick Bosustow; Producer,yes
1970 (43rd),SHORT SUBJECT (Cartoon),The Shepherd,Cameron Guess; Producer,no
1970 (43rd),SHORT SUBJECT (Live Action),The Resurrection of Broncho Billy,John Longenecker; Producer,yes
1970 (43rd),SHORT SUBJECT (Live Action),Shut Up...I'm Crying,Robert Siegler; Producer,no
1970 (43rd),SHORT SUBJECT (Live Action),Sticky My Fingers...Fleet My Feet,John Hancock; Producer,no
1970 (43rd),SOUND,Airport,Ronald Pierce; David Moriarty,no
1970 (43rd),SOUND,Patton,Douglas Williams; Don Bassman,yes
1970 (43rd),SOUND,Ryan's Daughter,Gordon K. McCallum; John Bramall,no
1970 (43rd),SOUND,Tora! Tora! Tora!,Murray Spivack; Herman Lewis,no
1970 (43rd),SOUND,Woodstock,Dan Wallin; Larry Johnson,no
1970 (43rd),SPECIAL VISUAL EFFECTS,Patton,Alex Weldon,no
1970 (43rd),SPECIAL VISUAL EFFECTS,Tora! Tora! Tora!,A. D. Flowers; L. B. Abbott,yes
1970 (43rd),WRITING (Screenplay--based on material from another medium),Airport,George Seaton,no
1970 (43rd),WRITING (Screenplay--based on material from another medium),I Never Sang for My Father,Robert Anderson,no
1970 (43rd),WRITING (Screenplay--based on material from another medium),Lovers and Other Strangers,Renee Taylor; Joseph Bologna; David Zelag Goodman,no
1970 (43rd),WRITING (Screenplay--based on material from another medium),M*A*S*H,Ring Lardner; Jr.,yes
1970 (43rd),WRITING (Screenplay--based on material from another medium),Women in Love,Larry Kramer,no
1970 (43rd),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Five Easy Pieces,Story by Bob Rafelson; Adrien Joyce; Screenplay by Adrien Joyce,no
1970 (43rd),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Joe,Norman Wexler,no
1970 (43rd),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Love Story,Erich Segal,no
1970 (43rd),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),My Night at Maud's,Eric Rohmer,no
1970 (43rd),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Patton,Francis Ford Coppola; Edmund H. North,yes
1970 (43rd),JEAN HERSHOLT HUMANITARIAN AWARD,Frank Sinatra,NA,yes
1970 (43rd),HONORARY AWARD,To Lillian Gish for superlative artistry and for distinguished contribution to the progress of motion pictures.,NA,yes
1970 (43rd),HONORARY AWARD,To Orson Welles for superlative artistry and versatility in the creation of motion pictures.,NA,yes
1970 (43rd),IRVING G. THALBERG MEMORIAL AWARD,Ingmar Bergman,NA,yes
1970 (43rd),SCIENTIFIC OR TECHNICAL AWARD (Class II),To LEONARD SOKOLOW and EDWARD H. REICHARD of Consolidated Film Industries for the concept and engineering of the Color Proofing Printer for motion pictures. ,NA,yes
1970 (43rd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To SYLVANIA ELECTRIC PRODUCTS INC. for the development and introduction of a series of compact tungsten halogen lamps for motion picture production. ,NA,yes
1970 (43rd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To B. J. LOSMANDY for the concept; design and application of micro-miniature solid state amplifier modules used in motion picture recording equipment. ,NA,yes
1970 (43rd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To EASTMAN KODAK COMPANY and PHOTO ELECTRONICS CORPORATION for the design and engineering of an improved video color analyzer for motion picture laboratories. ,NA,yes
1970 (43rd),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ELECTRO SOUND INCORPORATED for the design and introduction of the Series 8000 Sound System for motion picture theatres. ,NA,yes
1971 (44th),ACTOR,Sunday Bloody Sunday ,Peter Finch,no
1971 (44th),ACTOR,The French Connection ,Gene Hackman,yes
1971 (44th),ACTOR,Kotch ,Walter Matthau,no
1971 (44th),ACTOR,The Hospital ,George C. Scott,no
1971 (44th),ACTOR,Fiddler on the Roof ,Topol,no
1971 (44th),ACTOR IN A SUPPORTING ROLE,The Last Picture Show ,Jeff Bridges,no
1971 (44th),ACTOR IN A SUPPORTING ROLE,Fiddler on the Roof ,Leonard Frey,no
1971 (44th),ACTOR IN A SUPPORTING ROLE,Sometimes a Great Notion ,Richard Jaeckel,no
1971 (44th),ACTOR IN A SUPPORTING ROLE,The Last Picture Show ,Ben Johnson,yes
1971 (44th),ACTOR IN A SUPPORTING ROLE,The French Connection ,Roy Scheider,no
1971 (44th),ACTRESS,McCabe & Mrs. Miller ,Julie Christie,no
1971 (44th),ACTRESS,Klute ,Jane Fonda,yes
1971 (44th),ACTRESS,Sunday Bloody Sunday ,Glenda Jackson,no
1971 (44th),ACTRESS,Mary; Queen of Scots ,Vanessa Redgrave,no
1971 (44th),ACTRESS,Nicholas and Alexandra ,Janet Suzman,no
1971 (44th),ACTRESS IN A SUPPORTING ROLE,Carnal Knowledge ,Ann-Margret,no
1971 (44th),ACTRESS IN A SUPPORTING ROLE,The Last Picture Show ,Ellen Burstyn,no
1971 (44th),ACTRESS IN A SUPPORTING ROLE,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me? ,Barbara Harris,no
1971 (44th),ACTRESS IN A SUPPORTING ROLE,The Last Picture Show ,Cloris Leachman,yes
1971 (44th),ACTRESS IN A SUPPORTING ROLE,The Go-Between ,Margaret Leighton,no
1971 (44th),ART DIRECTION,The Andromeda Strain,Art Direction: Boris Leven; William Tuntke; Set Decoration: Ruby Levitt,no
1971 (44th),ART DIRECTION,Bedknobs and Broomsticks,Art Direction: John B. Mansbridge; Peter Ellenshaw; Set Decoration: Emile Kuri; Hal Gausman,no
1971 (44th),ART DIRECTION,Fiddler on the Roof,Art Direction: Robert Boyle; Michael Stringer; Set Decoration: Peter Lamont,no
1971 (44th),ART DIRECTION,Mary; Queen of Scots,Art Direction: Terence Marsh; Robert Cartwright; Set Decoration: Peter Howitt,no
1971 (44th),ART DIRECTION,Nicholas and Alexandra,Art Direction: John Box; Ernest Archer; Jack Maxsted; Gil Parrondo; Set Decoration: Vernon Dixon,yes
1971 (44th),CINEMATOGRAPHY,Fiddler on the Roof,Oswald Morris,yes
1971 (44th),CINEMATOGRAPHY,The French Connection,Owen Roizman,no
1971 (44th),CINEMATOGRAPHY,The Last Picture Show,Robert Surtees,no
1971 (44th),CINEMATOGRAPHY,Nicholas and Alexandra,Freddie Young,no
1971 (44th),CINEMATOGRAPHY,Summer of '42,Robert Surtees,no
1971 (44th),COSTUME DESIGN,Bedknobs and Broomsticks,Bill Thomas,no
1971 (44th),COSTUME DESIGN,Death in Venice,Piero Tosi,no
1971 (44th),COSTUME DESIGN,Mary; Queen of Scots,Margaret Furse,no
1971 (44th),COSTUME DESIGN,Nicholas and Alexandra,Yvonne Blake; Antonio Castillo,yes
1971 (44th),COSTUME DESIGN,What's the Matter with Helen?,Morton Haack,no
1971 (44th),DIRECTING,A Clockwork Orange,Stanley Kubrick,no
1971 (44th),DIRECTING,Fiddler on the Roof,Norman Jewison,no
1971 (44th),DIRECTING,The French Connection,William Friedkin,yes
1971 (44th),DIRECTING,The Last Picture Show,Peter Bogdanovich,no
1971 (44th),DIRECTING,Sunday Bloody Sunday,John Schlesinger,no
1971 (44th),DOCUMENTARY (Feature),Alaska Wilderness Lake,Alan Landsburg; Producer,no
1971 (44th),DOCUMENTARY (Feature),The Hellstrom Chronicle,Walon Green; Producer,yes
1971 (44th),DOCUMENTARY (Feature),On Any Sunday,Bruce Brown; Producer,no
1971 (44th),DOCUMENTARY (Feature),The RA Expeditions,Lennart Ehrenborg and Thor Heyerdahl; Producers,no
1971 (44th),DOCUMENTARY (Feature),The Sorrow and the Pity,Marcel Ophuls; Producer,no
1971 (44th),DOCUMENTARY (Short Subject),Adventures in Perception,Han van Gelder; Producer,no
1971 (44th),DOCUMENTARY (Short Subject),Art Is...,Julian Krainin and DeWitt L. Sage; Jr.; Producers,no
1971 (44th),DOCUMENTARY (Short Subject),The Numbers Start with the River,Donald Wrye; Producer,no
1971 (44th),DOCUMENTARY (Short Subject),Sentinels of Silence,Manuel Arango and Robert Amram; Producers,yes
1971 (44th),DOCUMENTARY (Short Subject),Somebody Waiting,Hal Riney; Dick Snider and Sherwood Omens; Producers,no
1971 (44th),FILM EDITING,The Andromeda Strain,Stuart Gilmore; John W. Holmes,no
1971 (44th),FILM EDITING,A Clockwork Orange,Bill Butler,no
1971 (44th),FILM EDITING,The French Connection,Jerry Greenberg,yes
1971 (44th),FILM EDITING,Kotch,Ralph E. Winters,no
1971 (44th),FILM EDITING,Summer of '42,Folmar Blangsted,no
1971 (44th),FOREIGN LANGUAGE FILM,Dodes'ka-Den,Japan,no
1971 (44th),FOREIGN LANGUAGE FILM,The Emigrants,Sweden,no
1971 (44th),FOREIGN LANGUAGE FILM,The Garden of the Finzi Continis,Italy,yes
1971 (44th),FOREIGN LANGUAGE FILM,The Policeman,Israel,no
1971 (44th),FOREIGN LANGUAGE FILM,Tchaikovsky,Union of Soviet Socialist Republics,no
1971 (44th),MUSIC (Original Dramatic Score),Mary; Queen of Scots,John Barry,no
1971 (44th),MUSIC (Original Dramatic Score),Nicholas and Alexandra,Richard Rodney Bennett,no
1971 (44th),MUSIC (Original Dramatic Score),Shaft,Isaac Hayes,no
1971 (44th),MUSIC (Original Dramatic Score),Straw Dogs,Jerry Fielding,no
1971 (44th),MUSIC (Original Dramatic Score),Summer of '42,Michel Legrand,yes
1971 (44th),MUSIC (Scoring: Adaptation and Original Song Score),Bedknobs and Broomsticks,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Irwin Kostal,no
1971 (44th),MUSIC (Scoring: Adaptation and Original Song Score),The Boy Friend,Adaptation Score by Peter Maxwell Davies and Peter Greenwell,no
1971 (44th),MUSIC (Scoring: Adaptation and Original Song Score),Fiddler on the Roof,Adaptation Score by John Williams,yes
1971 (44th),MUSIC (Scoring: Adaptation and Original Song Score),Tchaikovsky,Adaptation Score by Dimitri Tiomkin,no
1971 (44th),MUSIC (Scoring: Adaptation and Original Song Score),Willy Wonka and the Chocolate Factory,Song Score by Leslie Bricusse and Anthony Newley; Adaptation Score by Walter Scharf,no
1971 (44th),MUSIC (Song--Original for the Picture),The Age Of Not Believing from Bedknobs and Broomsticks,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,no
1971 (44th),MUSIC (Song--Original for the Picture),All His Children from Sometimes a Great Notion,Music by Henry Mancini; Lyrics by Alan Bergman and Marilyn Bergman,no
1971 (44th),MUSIC (Song--Original for the Picture),Bless The Beasts & Children from Bless the Beasts & Children,Music and Lyrics by Barry DeVorzon and Perry Botkin; Jr.,no
1971 (44th),MUSIC (Song--Original for the Picture),Life Is What You Make It from Kotch,Music by Marvin Hamlisch; Lyrics by Johnny Mercer,no
1971 (44th),MUSIC (Song--Original for the Picture),Theme From Shaft from Shaft,Music and Lyrics by Isaac Hayes,yes
1971 (44th),BEST PICTURE,A Clockwork Orange,Stanley Kubrick; Producer,no
1971 (44th),BEST PICTURE,Fiddler on the Roof,Norman Jewison; Producer,no
1971 (44th),BEST PICTURE,The French Connection,Philip D'Antoni; Producer,yes
1971 (44th),BEST PICTURE,The Last Picture Show,Stephen J. Friedman; Producer,no
1971 (44th),BEST PICTURE,Nicholas and Alexandra,Sam Spiegel; Producer,no
1971 (44th),SHORT SUBJECT (Animated),The Crunch Bird,Ted Petok; Producer,yes
1971 (44th),SHORT SUBJECT (Animated),Evolution,Michael Mills; Producer,no
1971 (44th),SHORT SUBJECT (Animated),The Selfish Giant,Peter Sander and Murray Shostak; Producers,no
1971 (44th),SHORT SUBJECT (Live Action),Good Morning,Denny Evans and Ken Greenwald; Producers,no
1971 (44th),SHORT SUBJECT (Live Action),The Rehearsal,Stephen F. Verona; Producer,no
1971 (44th),SHORT SUBJECT (Live Action),Sentinels of Silence,Manuel Arango and Robert Amram; Producers,yes
1971 (44th),SOUND,Diamonds Are Forever,Gordon K. McCallum; John Mitchell; Alfred J. Overton,no
1971 (44th),SOUND,Fiddler on the Roof,Gordon K. McCallum; David Hildyard,yes
1971 (44th),SOUND,The French Connection,Theodore Soderberg; Christopher Newman,no
1971 (44th),SOUND,Kotch,Richard Portman; Jack Solomon,no
1971 (44th),SOUND,Mary; Queen of Scots,Bob Jones; John Aldred,no
1971 (44th),SPECIAL VISUAL EFFECTS,Bedknobs and Broomsticks,Alan Maley; Eustace Lycett; Danny Lee,yes
1971 (44th),SPECIAL VISUAL EFFECTS,When Dinosaurs Ruled the Earth,Jim Danforth; Roger Dicken,no
1971 (44th),WRITING (Screenplay--based on material from another medium),A Clockwork Orange,Stanley Kubrick,no
1971 (44th),WRITING (Screenplay--based on material from another medium),The Conformist,Bernardo Bertolucci,no
1971 (44th),WRITING (Screenplay--based on material from another medium),The French Connection,Ernest Tidyman,yes
1971 (44th),WRITING (Screenplay--based on material from another medium),The Garden of the Finzi Continis,Ugo Pirro; Vittorio Bonicelli,no
1971 (44th),WRITING (Screenplay--based on material from another medium),The Last Picture Show,Larry McMurtry; Peter Bogdanovich,no
1971 (44th),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Hospital,Paddy Chayefsky,yes
1971 (44th),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Investigation of a Citizen above Suspicion,Elio Petri; Ugo Pirro,no
1971 (44th),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Klute,Andy Lewis; Dave Lewis,no
1971 (44th),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Summer of '42,Herman Raucher,no
1971 (44th),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Sunday Bloody Sunday,Penelope Gilliatt,no
1971 (44th),HONORARY AWARD,To Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century.,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To JOHN N. WILKINSON of Optical Radiation Corporation for the development and engineering of a system of xenon arc lamphouses for motion picture projection. ,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To THOMAS JEFFERSON HUTCHINSON; JAMES R. ROCHESTER and FENTON HAMILTON for the development and introduction of the Sunbrute system of xenon arc lamps for location lighting in motion picture production. ,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To PHOTO RESEARCH; A DIVISION OF KOLLMORGEN CORPORATION; for the development and introduction of the film-lens balanced Three Color Meter. ,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ROBERT D. AUGUSTE and CINEMA PRODUCTS COMPANY for the development and introduction of a new crystal controlled lightweight motor for the 35mm motion picture Arriflex camera. ,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To PRODUCERS SERVICE CORPORATION and CONSOLIDATED FILM INDUSTRIES; and to CINEMA RESEARCH CORPORATION and RESEARCH PRODUCTS; INC. for the engineering and implementation of fully automated blow-up motion picture printing systems. ,NA,yes
1971 (44th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To CINEMA PRODUCTS COMPANY for a control motor to actuate zoom lenses on motion picture cameras. ,NA,yes
1972 (45th),ACTOR,The Godfather ,Marlon Brando,yes
1972 (45th),ACTOR,NA,[NOTE: Mr. Brando refused the award.],no
1972 (45th),ACTOR,Sleuth ,Michael Caine,no
1972 (45th),ACTOR,Sleuth ,Laurence Olivier,no
1972 (45th),ACTOR,The Ruling Class ,Peter O'Toole,no
