Year,Category,Nominee,Additional Info,Won?
2011 (84th),ACTOR IN A LEADING ROLE,Demián Bichir,A Better Life {"Carlos Galindo"},no
2011 (84th),ACTOR IN A LEADING ROLE,George Clooney,The Descendants {"Matt King"},no
2011 (84th),ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist {"George Valentin"},yes
2011 (84th),ACTOR IN A LEADING ROLE,Gary Oldman,Tinker Tailor Soldier Spy {"George Smiley"},no
2011 (84th),ACTOR IN A LEADING ROLE,Brad Pitt,Moneyball {"Billy Beane"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Kenneth Branagh,My Week with Marilyn {"Sir Laurence Olivier"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Jonah Hill,Moneyball {"Peter Brand"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior {"Paddy Conlon"},no
2011 (84th),ACTOR IN A SUPPORTING ROLE,Christopher Plummer,Beginners {"Hal"},yes
2011 (84th),ACTOR IN A SUPPORTING ROLE,Max von Sydow,Extremely Loud & Incredibly Close {"The Renter"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Glenn Close,Albert Nobbs {"Albert Nobbs"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Viola Davis,The Help {"Aibileen Clark"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Rooney Mara,The Girl with the Dragon Tattoo {"Lisbeth Salander"},no
2011 (84th),ACTRESS IN A LEADING ROLE,Meryl Streep,The Iron Lady {"Margaret Thatcher"},yes
2011 (84th),ACTRESS IN A LEADING ROLE,Michelle Williams,My Week with Marilyn {"Marilyn Monroe"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,The Artist {"Peppy Miller"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Jessica Chastain,The Help {"Celia Foote"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Melissa McCarthy,Bridesmaids {"Megan"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Janet McTeer,Albert Nobbs {"Hubert Page"},no
2011 (84th),ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Help {"Minny Jackson"},yes
2011 (84th),ANIMATED FEATURE FILM,A Cat in Paris,Alain Gagnol and Jean-Loup Felicioli,no
2011 (84th),ANIMATED FEATURE FILM,Chico & Rita,Fernando Trueba and Javier Mariscal,no
2011 (84th),ANIMATED FEATURE FILM,Kung Fu Panda 2,Jennifer Yuh Nelson,no
2011 (84th),ANIMATED FEATURE FILM,Puss in Boots,Chris Miller,no
2011 (84th),ANIMATED FEATURE FILM,Rango,Gore Verbinski,yes
2011 (84th),ART DIRECTION,The Artist,Production Design: Laurence Bennett; Set Decoration: Robert Gould,no
2011 (84th),ART DIRECTION,Harry Potter and the Deathly Hallows Part 2,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,no
2011 (84th),ART DIRECTION,Hugo,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,yes
2011 (84th),ART DIRECTION,Midnight in Paris,Production Design: Anne Seibel; Set Decoration: Hélène Dubreuil,no
2011 (84th),ART DIRECTION,War Horse,Production Design: Rick Carter; Set Decoration: Lee Sandales,no
2011 (84th),CINEMATOGRAPHY,The Artist,Guillaume Schiffman,no
2011 (84th),CINEMATOGRAPHY,The Girl with the Dragon Tattoo,Jeff Cronenweth,no
2011 (84th),CINEMATOGRAPHY,Hugo,Robert Richardson,yes
2011 (84th),CINEMATOGRAPHY,The Tree of Life,Emmanuel Lubezki,no
2011 (84th),CINEMATOGRAPHY,War Horse,Janusz Kaminski,no
2011 (84th),COSTUME DESIGN,Anonymous,Lisy Christl,no
2011 (84th),COSTUME DESIGN,The Artist,Mark Bridges,yes
2011 (84th),COSTUME DESIGN,Hugo,Sandy Powell,no
2011 (84th),COSTUME DESIGN,Jane Eyre,Michael O'Connor,no
2011 (84th),COSTUME DESIGN,W.E.,Arianne Phillips,no
2011 (84th),DIRECTING,The Artist,Michel Hazanavicius,yes
2011 (84th),DIRECTING,The Descendants,Alexander Payne,no
2011 (84th),DIRECTING,Hugo,Martin Scorsese,no
2011 (84th),DIRECTING,Midnight in Paris,Woody Allen,no
2011 (84th),DIRECTING,The Tree of Life,Terrence Malick,no
2011 (84th),DOCUMENTARY (Feature),Hell and Back Again,Danfung Dennis and Mike Lerner,no
2011 (84th),DOCUMENTARY (Feature),If a Tree Falls: A Story of the Earth Liberation Front,Marshall Curry and Sam Cullman,no
2011 (84th),DOCUMENTARY (Feature),Paradise Lost 3: Purgatory,Joe Berlinger and Bruce Sinofsky,no
2011 (84th),DOCUMENTARY (Feature),Pina,Wim Wenders and Gian-Piero Ringel,no
2011 (84th),DOCUMENTARY (Feature),Undefeated,TJ Martin; Dan Lindsay and Rich Middlemas,yes
2011 (84th),DOCUMENTARY (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin,no
2011 (84th),DOCUMENTARY (Short Subject),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson,no
2011 (84th),DOCUMENTARY (Short Subject),Incident in New Baghdad,James Spione,no
2011 (84th),DOCUMENTARY (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy,yes
2011 (84th),DOCUMENTARY (Short Subject),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen,no
2011 (84th),FILM EDITING,The Artist,Anne-Sophie Bion and Michel Hazanavicius,no
2011 (84th),FILM EDITING,The Descendants,Kevin Tent,no
2011 (84th),FILM EDITING,The Girl with the Dragon Tattoo,Kirk Baxter and Angus Wall,yes
2011 (84th),FILM EDITING,Hugo,Thelma Schoonmaker,no
2011 (84th),FILM EDITING,Moneyball,Christopher Tellefsen,no
2011 (84th),FOREIGN LANGUAGE FILM,Bullhead,Belgium,no
2011 (84th),FOREIGN LANGUAGE FILM,Footnote,Israel,no
2011 (84th),FOREIGN LANGUAGE FILM,In Darkness,Poland,no
2011 (84th),FOREIGN LANGUAGE FILM,Monsieur Lazhar,Canada,no
2011 (84th),FOREIGN LANGUAGE FILM,A Separation,Iran,yes
2011 (84th),MAKEUP,Albert Nobbs,Martial Corneville; Lynn Johnston and Matthew W. Mungle,no
2011 (84th),MAKEUP,Harry Potter and the Deathly Hallows Part 2,Nick Dudman; Amanda Knight and Lisa Tomblin,no
2011 (84th),MAKEUP,The Iron Lady,Mark Coulier and J. Roy Helland,yes
2011 (84th),MUSIC (Original Score),The Adventures of Tintin,John Williams,no
2011 (84th),MUSIC (Original Score),The Artist,Ludovic Bource,yes
2011 (84th),MUSIC (Original Score),Hugo,Howard Shore,no
2011 (84th),MUSIC (Original Score),Tinker Tailor Soldier Spy,Alberto Iglesias,no
2011 (84th),MUSIC (Original Score),War Horse,John Williams,no
2011 (84th),MUSIC (Original Song),"Man Or Muppet" from The Muppets,Music and Lyric by Bret McKenzie,yes
2011 (84th),MUSIC (Original Song),"Real In Rio" from Rio,Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett,no
2011 (84th),BEST PICTURE,The Artist,Thomas Langmann; Producer,yes
2011 (84th),BEST PICTURE,The Descendants,Jim Burke; Alexander Payne and Jim Taylor; Producers,no
2011 (84th),BEST PICTURE,Extremely Loud & Incredibly Close,Scott Rudin; Producer,no
2011 (84th),BEST PICTURE,The Help,Brunson Green; Chris Columbus and Michael Barnathan; Producers,no
2011 (84th),BEST PICTURE,Hugo,Graham King and Martin Scorsese; Producers,no
2011 (84th),BEST PICTURE,Midnight in Paris,Letty Aronson and Stephen Tenenbaum; Producers,no
2011 (84th),BEST PICTURE,Moneyball,Michael De Luca; Rachael Horovitz and Brad Pitt; Producers,no
2011 (84th),BEST PICTURE,The Tree of Life,Sarah Green; Bill Pohlad; Dede Gardner and Grant Hill; Producers,no
2011 (84th),BEST PICTURE,War Horse,Steven Spielberg and Kathleen Kennedy; Producers,no
2011 (84th),SHORT FILM (Animated),Dimanche/Sunday,Patrick Doyon,no
2011 (84th),SHORT FILM (Animated),The Fantastic Flying Books of Mr. Morris Lessmore,William Joyce and Brandon Oldenburg,yes
2011 (84th),SHORT FILM (Animated),La Luna,Enrico Casarosa,no
2011 (84th),SHORT FILM (Animated),A Morning Stroll,Grant Orchard and Sue Goffe,no
2011 (84th),SHORT FILM (Animated),Wild Life,Amanda Forbis and Wendy Tilby,no
2011 (84th),SHORT FILM (Live Action),Pentecost,Peter McDonald and Eimear O'Kane,no
2011 (84th),SHORT FILM (Live Action),Raju,Max Zähle and Stefan Gieren,no
2011 (84th),SHORT FILM (Live Action),The Shore,Terry George and Oorlagh George,yes
2011 (84th),SHORT FILM (Live Action),Time Freak,Andrew Bowler and Gigi Causey,no
2011 (84th),SHORT FILM (Live Action),Tuba Atlantic,Hallvar Witzø,no
2011 (84th),SHORT FILM (Live Action),[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. After the awards ceremony on February 26; 2012; the Academy was made aware that Tuba Atlantic had been shown on Norwegian television in 2010; making the film ineligible for the 84th Awards under the rules governing the category. In July 2012; the nomination was rescinded by the Board of Governors.],NA,no
2011 (84th),SOUND EDITING,Drive,Lon Bender and Victor Ray Ennis,no
2011 (84th),SOUND EDITING,The Girl with the Dragon Tattoo,Ren Klyce,no
2011 (84th),SOUND EDITING,Hugo,Philip Stockton and Eugene Gearty,yes
2011 (84th),SOUND EDITING,Transformers: Dark of the Moon,Ethan Van der Ryn and Erik Aadahl,no
2011 (84th),SOUND EDITING,War Horse,Richard Hymns and Gary Rydstrom,no
2011 (84th),SOUND MIXING,The Girl with the Dragon Tattoo,David Parker; Michael Semanick; Ren Klyce and Bo Persson,no
2011 (84th),SOUND MIXING,Hugo,Tom Fleischman and John Midgley,yes
2011 (84th),SOUND MIXING,Moneyball,Deb Adair; Ron Bochar; David Giammarco and Ed Novick,no
2011 (84th),SOUND MIXING,Transformers: Dark of the Moon,Greg P. Russell; Gary Summers; Jeffrey J. Haboush and Peter J. Devlin,no
2011 (84th),SOUND MIXING,War Horse,Gary Rydstrom; Andy Nelson; Tom Johnson and Stuart Wilson,no
2011 (84th),VISUAL EFFECTS,Harry Potter and the Deathly Hallows Part 2,Tim Burke; David Vickery; Greg Butler and John Richardson,no
2011 (84th),VISUAL EFFECTS,Hugo,Rob Legato; Joss Williams; Ben Grossmann and Alex Henning,yes
2011 (84th),VISUAL EFFECTS,Real Steel,Erik Nash; John Rosengrant; Dan Taylor and Swen Gillberg,no
2011 (84th),VISUAL EFFECTS,Rise of the Planet of the Apes,Joe Letteri; Dan Lemmon; R. Christopher White and Daniel Barrett,no
2011 (84th),VISUAL EFFECTS,Transformers: Dark of the Moon,Scott Farrar; Scott Benza; Matthew Butler and John Frazier,no
2011 (84th),WRITING (Adapted Screenplay),The Descendants,Screenplay by Alexander Payne and Nat Faxon & Jim Rash,yes
2011 (84th),WRITING (Adapted Screenplay),Hugo,Screenplay by John Logan,no
2011 (84th),WRITING (Adapted Screenplay),The Ides of March,Screenplay by George Clooney & Grant Heslov and Beau Willimon,no
2011 (84th),WRITING (Adapted Screenplay),Moneyball,Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin,no
2011 (84th),WRITING (Adapted Screenplay),Tinker Tailor Soldier Spy,Screenplay by Bridget O'Connor & Peter Straughan,no
2011 (84th),WRITING (Original Screenplay),The Artist,Written by Michel Hazanavicius,no
2011 (84th),WRITING (Original Screenplay),Bridesmaids,Written by Annie Mumolo & Kristen Wiig,no
2011 (84th),WRITING (Original Screenplay),Margin Call,Written by J.C. Chandor,no
2011 (84th),WRITING (Original Screenplay),Midnight in Paris,Written by Woody Allen,yes
2011 (84th),WRITING (Original Screenplay),A Separation,Written by Asghar Farhadi,no
2011 (84th),JEAN HERSHOLT HUMANITARIAN AWARD,Oprah Winfrey,NA,yes
2011 (84th),HONORARY AWARD,To James Earl Jones for his legacy of consistent excellence and uncommon versatility.,NA,yes
2011 (84th),HONORARY AWARD,To Dick Smith for his unparalleled mastery of texture; shade; form and illusion.,NA,yes
2011 (84th),GORDON E. SAWYER AWARD,Douglas Trumbull,NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),To FRANZ KRAUS; JOHANNES STEURER and WOLFGANG RIEDEL for the design and development of the ARRILASER Film Recorder. The ARRILASER film recorder demonstrates a high level of engineering resulting in a compact; user-friendly; low-maintenance device; while at the same time maintaining outstanding speed; exposure ratings and image quality. [Special Photographic],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To RADU CORLAN; ANDY JANTZEN; PETRU POP and RICHARD F. TOFTNESS for the design and engineering of the Phantom family of high-speed cameras for motion picture production. The Phantom family of high-speed digital cameras; including the Phantom Flex and HD Gold; provide imagery at speeds and efficacy surpassing photochemical technology; while seamlessly intercutting with conventional film production. [Camera],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To DR. JÜRGEN NOFFKE for the optical design and UWE WEBER for the mechanical design of the ARRI Zeiss Master Prime Lenses for motion picture photography. The Master Primes have achieved a full stop advance in speed over existing lenses; while maintaining state-of-the-art optical quality. This lens family was also the first to eliminate the magnification change that accompanied extreme focus shifts. [Lenses and Filters],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To MICHAEL LEWIS; GREG MARSDEN; RAIGO ALAS and MICHAEL VELLEKOOP for the concept; design and implementation of the Pictorvision Eclipse; an electronically stabilized aerial camera platform. The Pictorvision Eclipse system allows cinematographers to capture aerial footage at faster flying speeds with aggressive platform maneuvering. [Camera Cranes],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To E.F. "BOB" NETTMANN for the concept and system architecture; MICHAEL SAYOVITZ for the electronic packaging and integration; BRAD FRITZEL for the electronic engineering; and FRED MILLER for the mechanical engineering of the Stab-C Classic; Super-G and Stab-C Compact stabilizing heads. This versatile family of 5-axis camera and lens stabilizers allows any standard motion picture camera to be fitted into the open architecture of the structure. The system can be quickly balanced and made ready for shooting platforms such as helicopters; boats; camera cars or cranes. [Camera Cranes],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To JOHN D. LOWRY; IAN CAVÉN; IAN GODIN; KIMBALL THURSTON and TIM CONNOLLY for the development of a unique and efficient system for the reduction of noise and other artifacts; thereby providing high-quality images required by the filmmaking process. The "Lowry Process" uses advanced GPU-accelerated; motion estimation-based image processing tools to enhance image quality. [Laboratory],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To FUJIFILM CORPORATION; HIDEYUKI SHIRAI; DR. KATSUHISA OOZEKI and HIROSHI HIRANO for the design and development of the FUJIFILM black and white recording film ETERNA-RDS 4791 for use in the archival preservation of film and digital images. Specifically designed for laser film recording and widely used in the industry today; the high-resolution FUJIFILM ETERNA-RDS 4791 film stock is an important step in protecting the heritage of the motion picture industry. [Film],NA,yes
2011 (84th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To ANDREW CLINTON and MARK ELENDT for the invention and integration of micro-voxels in the Mantra software. This work allowed; for the first time; unified and efficient rendering of volumetric effects such as smoke and clouds; together with other computer graphics objects; in a micro-polygon imaging pipeline. [Digital Imaging Technology],NA,yes
2011 (84th),JOHN A. BONNER MEDAL OF COMMENDATION,To Jonathan Erland in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,NA,yes
2012 (85th),ACTOR IN A LEADING ROLE,Bradley Cooper,Silver Linings Playbook {"Pat"},no
2012 (85th),ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Lincoln {"Abraham Lincoln"},yes
2012 (85th),ACTOR IN A LEADING ROLE,Hugh Jackman,Les Misérables {"Jean Valjean"},no
2012 (85th),ACTOR IN A LEADING ROLE,Joaquin Phoenix,The Master {"Freddie Quell"},no
2012 (85th),ACTOR IN A LEADING ROLE,Denzel Washington,Flight {"Whip Whitaker"},no
2012 (85th),ACTOR IN A SUPPORTING ROLE,Alan Arkin,Argo {"Lester Siegel"},no
2012 (85th),ACTOR IN A SUPPORTING ROLE,Robert De Niro,Silver Linings Playbook {"Pat Sr."},no
2012 (85th),ACTOR IN A SUPPORTING ROLE,Philip Seymour Hoffman,The Master {"Lancaster Dodd"},no
2012 (85th),ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,Lincoln {"Thaddeus Stevens"},no
2012 (85th),ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained {"Dr. King Schultz"},yes
2012 (85th),ACTRESS IN A LEADING ROLE,Jessica Chastain,Zero Dark Thirty {"Maya"},no
2012 (85th),ACTRESS IN A LEADING ROLE,Jennifer Lawrence,Silver Linings Playbook {"Tiffany"},yes
2012 (85th),ACTRESS IN A LEADING ROLE,Emmanuelle Riva,Amour {"Anne"},no
2012 (85th),ACTRESS IN A LEADING ROLE,Quvenzhané Wallis,Beasts of the Southern Wild {"Hushpuppy"},no
2012 (85th),ACTRESS IN A LEADING ROLE,Naomi Watts,The Impossible {"Maria"},no
2012 (85th),ACTRESS IN A SUPPORTING ROLE,Amy Adams,The Master {"Peggy Dodd"},no
2012 (85th),ACTRESS IN A SUPPORTING ROLE,Sally Field,Lincoln {"Mary Todd Lincoln"},no
2012 (85th),ACTRESS IN A SUPPORTING ROLE,Anne Hathaway,Les Misérables {"Fantine"},yes
2012 (85th),ACTRESS IN A SUPPORTING ROLE,Helen Hunt,The Sessions {"Cheryl"},no
2012 (85th),ACTRESS IN A SUPPORTING ROLE,Jacki Weaver,Silver Linings Playbook {"Dolores"},no
2012 (85th),ANIMATED FEATURE FILM,Brave,Mark Andrews and Brenda Chapman,yes
2012 (85th),ANIMATED FEATURE FILM,Frankenweenie,Tim Burton,no
2012 (85th),ANIMATED FEATURE FILM,ParaNorman,Sam Fell and Chris Butler,no
2012 (85th),ANIMATED FEATURE FILM,The Pirates! Band of Misfits,Peter Lord,no
2012 (85th),ANIMATED FEATURE FILM,Wreck-It Ralph,Rich Moore,no
2012 (85th),CINEMATOGRAPHY,Anna Karenina,Seamus McGarvey,no
2012 (85th),CINEMATOGRAPHY,Django Unchained,Robert Richardson,no
2012 (85th),CINEMATOGRAPHY,Life of Pi,Claudio Miranda,yes
2012 (85th),CINEMATOGRAPHY,Lincoln,Janusz Kaminski,no
2012 (85th),CINEMATOGRAPHY,Skyfall,Roger Deakins,no
2012 (85th),COSTUME DESIGN,Anna Karenina,Jacqueline Durran,yes
2012 (85th),COSTUME DESIGN,Les Misérables,Paco Delgado,no
2012 (85th),COSTUME DESIGN,Lincoln,Joanna Johnston,no
2012 (85th),COSTUME DESIGN,Mirror Mirror,Eiko Ishioka,no
