"Year","AwardSeason","Category","CategoryType","Nominee","Additional Info","Won"
"2012","85","ACTRESS","SUPPORTING ROLE","LINCOLN ","Sally Field","NO"
"2012","85","ACTRESS","SUPPORTING ROLE","LES MISÉRABLES ","Anne Hathaway","YES"
"2012","85","ACTRESS","SUPPORTING ROLE","THE SESSIONS ","Helen Hunt","NO"
"2012","85","ACTRESS","SUPPORTING ROLE","SILVER LININGS PLAYBOOK ","Jacki Weaver","NO"
"2012","85","ANIMATED FEATURE FILM",NA,"BRAVE","Mark Andrews and Brenda Chapman","YES"
"2012","85","ANIMATED FEATURE FILM",NA,"FRANKENWEENIE","Tim Burton","NO"
"2012","85","ANIMATED FEATURE FILM",NA,"PARANORMAN","Sam Fell and Chris Butler","NO"
"2012","85","ANIMATED FEATURE FILM",NA,"THE PIRATES! BAND OF MISFITS","Peter Lord","NO"
"2012","85","ANIMATED FEATURE FILM",NA,"WRECK-IT RALPH","Rich Moore","NO"
"2012","85","CINEMATOGRAPHY",NA,"ANNA KARENINA","Seamus McGarvey","NO"
"2012","85","CINEMATOGRAPHY",NA,"DJANGO UNCHAINED","Robert Richardson","NO"
"2012","85","CINEMATOGRAPHY",NA,"LIFE OF PI","Claudio Miranda","YES"
"2012","85","CINEMATOGRAPHY",NA,"LINCOLN","Janusz Kaminski","NO"
"2012","85","CINEMATOGRAPHY",NA,"SKYFALL","Roger Deakins","NO"
"2012","85","COSTUME DESIGN",NA,"ANNA KARENINA","Jacqueline Durran","YES"
"2012","85","COSTUME DESIGN",NA,"LES MISÉRABLES","Paco Delgado","NO"
"2012","85","COSTUME DESIGN",NA,"LINCOLN","Joanna Johnston","NO"
"2012","85","COSTUME DESIGN",NA,"MIRROR MIRROR","Eiko Ishioka","NO"
"2012","85","COSTUME DESIGN",NA,"SNOW WHITE AND THE HUNTSMAN","Colleen Atwood","NO"
"2012","85","DIRECTING",NA,"AMOUR","Michael Haneke","NO"
"2012","85","DIRECTING",NA,"BEASTS OF THE SOUTHERN WILD","Benh Zeitlin","NO"
"2012","85","DIRECTING",NA,"LIFE OF PI","Ang Lee","YES"
"2012","85","DIRECTING",NA,"LINCOLN","Steven Spielberg","NO"
"2012","85","DIRECTING",NA,"SILVER LININGS PLAYBOOK","David O. Russell","NO"
"2012","85","DOCUMENTARY","Feature","5 BROKEN CAMERAS","Emad Burnat and Guy Davidi","NO"
"2012","85","DOCUMENTARY","Feature","THE GATEKEEPERS","Dror Moreh; Philippa Kowarsky and Estelle Fialon","NO"
"2012","85","DOCUMENTARY","Feature","HOW TO SURVIVE A PLAGUE","David France and Howard Gertler","NO"
"2012","85","DOCUMENTARY","Feature","THE INVISIBLE WAR","Kirby Dick and Amy Ziering","NO"
"2012","85","DOCUMENTARY","Feature","SEARCHING FOR SUGAR MAN","Malik Bendjelloul and Simon Chinn","YES"
"2012","85","DOCUMENTARY","Short Subject","INOCENTE","Sean Fine and Andrea Nix Fine","YES"
"2012","85","DOCUMENTARY","Short Subject","KINGS POINT","Sari Gilman and Jedd Wider","NO"
"2012","85","DOCUMENTARY","Short Subject","MONDAYS AT RACINE","Cynthia Wade and Robin Honan","NO"
"2012","85","DOCUMENTARY","Short Subject","OPEN HEART","Kief Davidson and Cori Shepherd Stern","NO"
"2012","85","DOCUMENTARY","Short Subject","REDEMPTION","Jon Alpert and Matthew O'Neill","NO"
"2012","85","FILM EDITING",NA,"ARGO","William Goldenberg","YES"
